STCOFIPS,STATE,COUNTY,HRCN_RISKS,HWAV_RISKS,WFIR_RISKS,CFLD_RISKS,DRGT_RISKS,composite_hazard_score
1001,Alabama,Autauga,72.090112640801,85.90237636480411,45.73791348600509,,45.64249363867685,62.34322403257176
1003,Alabama,Baldwin,99.24906132665832,92.1965317919075,90.77608142493636,85.8,74.52290076335878,88.5089150613722
1005,Alabama,Barbour,79.9749687108886,69.46050096339114,48.854961832061065,,70.0381679389313,67.08214986131803
1007,Alabama,Bibb,50.06257822277848,59.69813744380218,48.66412213740458,,33.87404580152672,48.07472090137799
1009,Alabama,Blount,62.99541093032958,69.49261400128452,65.04452926208651,,55.18447837150128,63.17925814130047
1011,Alabama,Bullock,76.17855652899458,49.96788696210662,46.087786259541986,,90.99872773536897,65.80823937150303
1013,Alabama,Butler,85.85732165206508,56.1014771997431,31.075063613231553,,37.086513994910945,52.53009411498767
1015,Alabama,Calhoun,73.9674593241552,78.3558124598587,81.52035623409668,,61.25954198473281,73.77579250071085
1017,Alabama,Chambers,70.17104714226116,82.7874116891458,51.653944020356235,,38.708651399491096,60.83026356281357
1019,Alabama,Cherokee,62.91197329995828,44.637122671804754,68.22519083969466,,89.79007633587787,66.39109078683389
1021,Alabama,Chilton,58.072590738423024,68.11175337186897,63.26335877862596,,41.348600508905854,57.69907584945595
1023,Alabama,Choctaw,89.31998331247392,46.0179833012203,52.44910941475827,,31.743002544529265,54.88251964324544
1025,Alabama,Clarke,89.61201501877348,66.21708413615927,43.92493638676845,22.2,27.067430025445297,49.804293113429296
1027,Alabama,Clay,67.50104297037964,39.948619139370585,71.08778625954199,,30.311704834605596,52.21228830097445
1029,Alabama,Cleburne,65.4151022110972,35.32434168272319,67.27099236641222,,48.473282442748086,54.120929675745174
1031,Alabama,Coffee,92.86608260325404,64.7077713551702,56.45674300254453,,55.089058524173026,67.27991387128546
1033,Alabama,Colbert,59.99165623696286,81.11753371868978,28.276081424936393,,60.20992366412214,57.398798761177794
